Epoch	ERROR1	TIME	
00000523	18.858579	26:15:07:49
00000524	18.788838	26:15:07:49
00000525	18.717228	26:15:07:49
00000526	18.643324	26:15:07:49
00000527	18.566775	26:15:07:49
00000528	18.487470	26:15:07:49
00000529	18.405825	26:15:07:49
00000530	18.322919	26:15:07:49
00000531	18.240038	26:15:07:49
00000532	18.158618	26:15:07:49
00000533	18.079888	26:15:07:49
00000534	18.004454	26:15:07:49
00000535	17.932595	26:15:07:49
00000536	17.863945	26:15:07:49
00000537	17.797973	26:15:07:49
00000538	17.734031	26:15:07:49
00000539	17.671457	26:15:07:49
00000540	17.609520	26:15:07:49
00000541	17.547508	26:15:07:49
00000542	17.484717	26:15:07:49
00000543	17.420394	26:15:07:49
00000544	17.353783	26:15:07:49
00000545	17.284096	26:15:07:49
00000546	17.210542	26:15:07:49
00000547	17.132381	26:15:07:49
00000548	17.048930	26:15:07:49
00000549	16.959851	26:15:07:49
00000550	16.865124	26:15:07:49
00000551	16.765376	26:15:07:49
00000552	16.662014	26:15:07:49
00000553	16.556758	26:15:07:49
00000554	16.451784	26:15:07:49
00000555	16.349316	26:15:07:49
00000556	16.251439	26:15:07:49
00000557	16.159696	26:15:07:49
00000558	16.075022	26:15:07:49
00000559	15.997679	26:15:07:49
00000560	15.927408	26:15:07:49
00000561	15.863527	26:15:07:49
00000562	15.805291	26:15:07:49
00000563	15.751820	26:15:07:49
00000564	15.702423	26:15:07:49
00000565	15.656370	26:15:07:49
00000566	15.613190	26:15:07:49
00000567	15.572392	26:15:07:49
00000568	15.533494	26:15:07:49
00000569	15.496179	26:15:07:49
00000570	15.460188	26:15:07:49
00000571	15.425350	26:15:07:49
00000572	15.391449	26:15:07:49
00000573	15.358344	26:15:07:49
00000574	15.325917	26:15:07:49
00000575	15.294074	26:15:07:49
00000576	15.262735	26:15:07:49
00000577	15.231873	26:15:07:49
00000578	15.201594	26:15:07:49
00000579	15.171703	26:15:07:49
00000580	15.142108	26:15:07:49
00000581	15.112780	26:15:07:49
00000582	15.083692	26:15:07:49
00000583	15.054872	26:15:07:49
00000584	15.026308	26:15:07:49
00000585	14.997961	26:15:07:49
00000586	14.969782	26:15:07:49
00000587	14.941760	26:15:07:49
00000588	14.913886	26:15:07:49
00000589	14.886152	26:15:07:49
00000590	14.858551	26:15:07:49
00000591	14.831090	26:15:07:49
00000592	14.803821	26:15:07:49
00000593	14.776686	26:15:07:49
00000594	14.749662	26:15:07:49
00000595	14.722746	26:15:07:49
00000596	14.695969	26:15:07:49
00000597	14.669306	26:15:07:49
00000598	14.642854	26:15:07:49
00000599	14.616633	26:15:07:49
00000600	14.590522	26:15:07:49
00000601	14.564513	26:15:07:49
00000602	14.538622	26:15:07:49
00000603	14.512815	26:15:07:49
00000604	14.487091	26:15:07:49
00000605	14.461447	26:15:07:49
00000606	14.435904	26:15:07:49
00000607	14.410537	26:15:07:49
00000608	14.385245	26:15:07:49
00000609	14.360028	26:15:07:49
00000610	14.334883	26:15:07:49
00000611	14.309810	26:15:07:49
00000612	14.284808	26:15:07:49
00000613	14.259905	26:15:07:49
00000614	14.235075	26:15:07:49
00000615	14.210322	26:15:07:49
00000616	14.185657	26:15:07:49
00000617	14.161081	26:15:07:49
00000618	14.136635	26:15:07:49
00000619	14.112288	26:15:07:49
00000620	14.088001	26:15:07:49
00000621	14.063775	26:15:07:49
00000622	14.039619	26:15:07:49
00000623	14.015520	26:15:07:49
00000624	13.991479	26:15:07:49
00000625	13.967521	26:15:07:49
00000626	13.943784	26:15:07:49
00000627	13.920196	26:15:07:49
00000628	13.896739	26:15:07:49
00000629	13.873331	26:15:07:49
00000630	13.849971	26:15:07:49
00000631	13.826659	26:15:07:49
00000632	13.803394	26:15:07:49
00000633	13.780175	26:15:07:49
00000634	13.757002	26:15:07:49
00000635	13.733886	26:15:07:49
00000636	13.710820	26:15:07:49
00000637	13.687849	26:15:07:49
00000638	13.664920	26:15:07:49
00000639	13.642112	26:15:07:49
00000640	13.619392	26:15:07:49
00000641	13.596712	26:15:07:49
00000642	13.574215	26:15:07:49
00000643	13.551878	26:15:07:49
00000644	13.529577	26:15:07:49
00000645	13.507311	26:15:07:49
00000646	13.485117	26:15:07:49
00000647	13.462986	26:15:07:49
00000648	13.440904	26:15:07:49
00000649	13.418932	26:15:07:49
00000650	13.397012	26:15:07:49
00000651	13.375125	26:15:07:49
00000652	13.353290	26:15:07:49
00000653	13.331530	26:15:07:49
00000654	13.309926	26:15:07:49
00000655	13.288351	26:15:07:49
00000656	13.266863	26:15:07:49
00000657	13.245456	26:15:07:49
00000658	13.224078	26:15:07:49
00000659	13.202727	26:15:07:49
00000660	13.181404	26:15:07:49
00000661	13.160212	26:15:07:49
00000662	13.139102	26:15:07:49
00000663	13.118104	26:15:07:49
00000664	13.097156	26:15:07:49
00000665	13.076232	26:15:07:49
00000666	13.055331	26:15:07:49
00000667	13.034454	26:15:07:49
00000668	13.013600	26:15:07:49
00000669	12.992840	26:15:07:49
00000670	12.972137	26:15:07:49
00000671	12.951481	26:15:07:49
00000672	12.930847	26:15:07:49
00000673	12.910266	26:15:07:49
00000674	12.889713	26:15:07:49
00000675	12.869182	26:15:07:49
00000676	12.848672	26:15:07:49
00000677	12.828183	26:15:07:49
00000678	12.807716	26:15:07:49
00000679	12.787296	26:15:07:49
00000680	12.766916	26:15:07:49
00000681	12.746638	26:15:07:49
00000682	12.726418	26:15:07:49
00000683	12.706239	26:15:07:49
00000684	12.686080	26:15:07:49
00000685	12.665982	26:15:07:49
00000686	12.645948	26:15:07:49
00000687	12.625953	26:15:07:49
00000688	12.606029	26:15:07:49
00000689	12.586123	26:15:07:49
00000690	12.566235	26:15:07:49
00000691	12.546365	26:15:07:49
00000692	12.526513	26:15:07:49
00000693	12.506679	26:15:07:49
00000694	12.486864	26:15:07:49
